- => 
+ => +++-----+++
++ => +---+--+---+
+-+ => +++-++-++-+++
+++ => +---+---+---+
+--+ => +++-++++++-+++
++-+ => +---++++---+++
+-++ => +++---++++---+
++++ => +----++++----+
+---+ => +++-+++-+++-+++
++--+ => +---++----+-+++
+-+-+ => +++---------+++
+++-+ => +----++-----+++
+--++ => +++-+----++---+
++-++ => +-------------+
+-+++ => +++-----++----+
+++++ => +-------------+
+----+ => +++--+----+--+++
++---+ => +---+-+----+-+++
+-+--+ => +++-+++--+++-+++
+++--+ => +---+++++--+-+++
+--+-+ => +++-+++--+++-+++
++-+-+ => +---+--+--+--+++
+-++-+ => +++----------+++
++++-+ => +------+-----+++
+---++ => +++-+----+-+---+
++--++ => +---++++++++---+
+-+-++ => +++--+--+--+---+
+++-++ => +--------------+
+--+++ => +++-+--+++++---+
++-+++ => +--------------+
+-++++ => +++-----+------+
++++++ => +--------------+
+-----+ => +++-----------+++
++----+ => +---+---+--+--+++
+-+---+ => +++-+++---+++-+++
+++---+ => +---+--+----+-+++
+--+--+ => +++-+++---+++-+++
++-+--+ => +---++++++-++-+++
+-++--+ => +++------+--+-+++
++++--+ => +----++--+--+-+++
+---+-+ => +++-+++---+++-+++
++--+-+ => +---++---++++-+++
+-+-+-+ => +++-----------+++
+++-+-+ => +----+++---+--+++
+--++-+ => +++-+--+------+++
++-++-+ => +--------+----+++
+-+++-+ => +++-----------+++
+++++-+ => +--------+----+++
+----++ => +++--+--+---+---+
++---++ => +---+-------+---+
+-+--++ => +++-++++---++---+
+++--++ => +---++++-++++---+
+--+-++ => +++-++-++++++---+
++-+-++ => +---+-------+---+
+-++-++ => +++----+--------+
++++-++ => +---------------+
+---+++ => +++-+----+--+---+
++--+++ => +---++++-++++---+
+-+-+++ => +++--+---+++----+
+++-+++ => +---------------+
+--++++ => +++-+--+--++----+
++-++++ => +---------------+
+-+++++ => +++----+--------+
+++++++ => +---------------+
+------+ => +++------------+++
++-----+ => +---+---+++----+++
+-+----+ => +++-++------+--+++
+++----+ => +---+----+--+--+++
+--+---+ => +++-+++----+++-+++
++-+---+ => +---++++++++++-+++
+-++---+ => +++---++-----+-+++
++++---+ => +----+++-----+-+++
+---+--+ => +++-+++----+++-+++
++--+--+ => +---++---+-+++-+++
+-+-+--+ => +++-----++++++-+++
+++-+--+ => +----++--++-++-+++
+--++--+ => +++-+--------+-+++
++-++--+ => +------+--+--+-+++
+-+++--+ => +++-------+--+-+++
+++++--+ => +------+--+--+-+++
+----+-+ => +++--+------++-+++
++---+-+ => +---+-+---++++-+++
+-+--+-+ => +++-+++----+++-+++
+++--+-+ => +---++++++++++-+++
+--+-+-+ => +++-++++++-----+++
++-+-+-+ => +---+---+++----+++
+-++-+-+ => +++-----+---+--+++
++++-+-+ => +-----------+--+++
+---++-+ => +++-+-----++---+++
++--++-+ => +---++++-------+++
+-+-++-+ => +++--+---+-----+++
+++-++-+ => +--------++----+++
+--+++-+ => +++-+--+-------+++
++-+++-+ => +--------++----+++
+-++++-+ => +++----+--+----+++
++++++-+ => +--------++----+++
+-----++ => +++----+++---+---+
++----++ => +---+--------+---+
+-+---++ => +++-++++---+-+---+
+++---++ => +---+--------+---+
+--+--++ => +++-+++-+---++---+
++-+--++ => +---++++-+--++---+
+-++--++ => +++-------++++---+
++++--++ => +----++---++++---+
+---+-++ => +++-++++++++++---+
++--+-++ => +---++--+-++++---+
+-+-+-++ => +++----+++---+---+
+++-+-++ => +----+++++---+---+
+--++-++ => +++-+--+--+------+
++-++-++ => +-------++-------+
+-+++-++ => +++----++--------+
+++++-++ => +-------++-------+
+----+++ => +++--+--+----+---+
++---+++ => +---+--------+---+
+-+--+++ => +++-++++++++++---+
+++--+++ => +---++++--++++---+
+--+-+++ => +++-++-++--++----+
++-+-+++ => +---+---+++++----+
+-++-+++ => +++----++--------+
++++-+++ => +-------++-------+
+---++++ => +++-+-----+++----+
++--++++ => +---++++---++----+
+-+-++++ => +++--+-----------+
+++-++++ => +-------++-------+
+--+++++ => +++-+--+--+------+
++-+++++ => +-------++-------+
+-++++++ => +++----++--------+
++++++++ => +-------++-------+
